Group,GATE,CI_Lower,CI_Upper
Low,-0.71840956216629,-0.8618371007455935,-0.5860163552729759
Lower-Mid,-1.0328218528024085,-1.3106120803472878,-0.8156436139355803
Upper-Mid,-1.1449278494134698,-1.3377458465523269,-0.9391620118013608
High,-0.8282326205802605,-1.2141675645516967,-0.4687577507435521
