bootstrap_iterations,ate_mean,ate_se,ate_ci_lower,ate_ci_upper,ci_width
100,-1.3374779435794282,0.11409962394103422,-1.5327738888428646,-1.1375269358743925,0.3952469529684721
200,-1.3330315922523517,0.12060596795239538,-1.5433699654972068,-1.1062111471906635,0.43715881830654335
500,-1.3343902293219958,0.12275271922001983,-1.5496103394734901,-1.0961663491005529,0.45344399037293726
1000,-1.33214522973052,0.1246243572591549,-1.5568424413051758,-1.0918953584589508,0.464947082846225
