sim_id,true_ate,est_ate,ci_lower,ci_upper,ci_width,covered,significant,success
30,-1.73,-1.4255008193009508,-1.6685161273122153,-1.1824855112896864,0.48603061602252895,False,True,True
31,-1.73,-1.6513991080132493,-1.9821651099001323,-1.3206331061263665,0.6615320037737658,True,True,True
32,-1.73,-1.6131061447224595,-1.8985879778288024,-1.3276243116161168,0.5709636662126856,True,True,True
33,-1.73,-1.6737051480432512,-1.9487719417557314,-1.398638354330771,0.5501335874249604,True,True,True
34,-1.73,-1.7780758983154246,-2.065790555491271,-1.4903612411395784,0.5754293143516926,True,True,True
35,-1.73,-1.6426318990783848,-1.9143736554995272,-1.3708901426572426,0.5434835128422846,True,True,True
36,-1.73,-1.515094007582544,-1.769647551615793,-1.2605404635492952,0.5091070880664978,True,True,True
37,-1.73,-1.6118964015588924,-1.898145720472102,-1.3256470826456828,0.5724986378264192,True,True,True
38,-1.73,-1.6002558092964576,-1.9720501432884063,-1.2284614753045089,0.7435886679838974,True,True,True
39,-1.73,-1.5944732919850546,-1.8952828735893317,-1.2936637103807778,0.6016191632085539,True,True,True
40,-1.73,-1.4885836834471975,-1.7851818343576102,-1.1919855325367847,0.5931963018208255,True,True,True
41,-1.73,-1.582282749413883,-1.8641947222443715,-1.3003707765833945,0.563823945660977,True,True,True
42,-1.73,-1.7524610229314346,-2.0917935737879914,-1.4131284720748778,0.6786651017131136,True,True,True
43,-1.73,-1.7098261988290795,-2.0221107957312072,-1.397541601926952,0.6245691938042552,True,True,True
44,-1.73,-1.6894243734540335,-1.988225501968375,-1.390623244939692,0.597602257028683,True,True,True
45,-1.73,-1.6026598000750638,-1.884665972994629,-1.3206536271554987,0.5640123458391302,True,True,True
46,-1.73,-1.5960344489522849,-1.9273922300021098,-1.26467666790246,0.6627155620996499,True,True,True
47,-1.73,-1.456700613738709,-1.7568475050392234,-1.1565537224381948,0.6002937826010286,True,True,True
48,-1.73,-1.7681800571988509,-2.0676497788961123,-1.4687103355015896,0.5989394433945228,True,True,True
49,-1.73,-1.5608991884301868,-1.8642293325001733,-1.2575690443602006,0.6066602881399727,True,True,True
50,-1.73,-1.576749604146166,-1.8106760912589714,-1.3428231170333604,0.467852974225611,True,True,True
51,-1.73,-1.6201637613657274,-1.8909030830681437,-1.3494244396633113,0.5414786434048324,True,True,True
52,-1.73,-1.574074328916978,-1.8068608839410465,-1.3412877738929097,0.46557311004813684,True,True,True
53,-1.73,-1.6743092427600401,-1.9396321469986233,-1.408986338521457,0.5306458084771664,True,True,True
54,-1.73,-1.714959238651846,-2.0238056310484227,-1.4061128462552694,0.6176927847931533,True,True,True
55,-1.73,-1.794242459569489,-2.0959045003730594,-1.4925804187659186,0.6033240816071408,True,True,True
56,-1.73,-1.49270224853282,-1.7954185231757813,-1.1899859738898588,0.6054325492859225,True,True,True
57,-1.73,-1.628046955616027,-1.8670525762248407,-1.3890413350072135,0.47801124121762717,True,True,True
58,-1.73,-1.7271615248006456,-1.9921317873591402,-1.462191262242151,0.5299405251169893,True,True,True
59,-1.73,-1.7141626706842572,-2.0172021180072566,-1.411123223361258,0.6060788946459985,True,True,True
60,-1.73,-1.5253014765747612,-1.8055299265594411,-1.2450730265900813,0.5604568999693598,True,True,True
61,-1.73,-1.6328443692147543,-1.9011409988000088,-1.3645477396294998,0.5365932591705089,True,True,True
62,-1.73,-1.6408486460105665,-1.9331796480727106,-1.3485176439484223,0.5846620041242883,True,True,True
63,-1.73,-1.7668878520052356,-2.037871742408663,-1.4959039616018082,0.5419677808068548,True,True,True
64,-1.73,-1.8042306580674838,-2.057504578581244,-1.5509567375537237,0.5065478410275204,True,True,True
65,-1.73,-1.644811770213489,-1.8875305038417771,-1.402093036585201,0.4854374672565762,True,True,True
66,-1.73,-1.7876965394335993,-2.1404361495689583,-1.4349569292982403,0.7054792202707181,True,True,True
67,-1.73,-1.8255075546337738,-2.0554995363317223,-1.5955155729358255,0.45998396339589687,True,True,True
68,-1.73,-1.7347363843881876,-2.022697609801858,-1.4467751589745175,0.5759224508273404,True,True,True
69,-1.73,-1.5940698781867786,-1.8596569213541672,-1.32848283501939,0.5311740863347771,True,True,True
70,-1.73,-1.8805774000188922,-2.192840882192539,-1.5683139178452454,0.6245269643472935,True,True,True
71,-1.73,-1.7020230514469015,-2.025977150481033,-1.3780689524127698,0.6479081980682633,True,True,True
72,-1.73,-1.7078286864552201,-2.017212917213604,-1.3984444556968363,0.6187684615167677,True,True,True
73,-1.73,-1.6699970532323019,-1.9122709117633434,-1.4277231947012605,0.4845477170620829,True,True,True
74,-1.73,-1.6287946090427576,-1.9099983833713234,-1.347590834714192,0.5624075486571314,True,True,True
75,-1.73,-1.5511473339211552,-1.8650576854274152,-1.2372369824148952,0.62782070301252,True,True,True
