Model,ATE,SE,CI_Lower,CI_Upper
L0: TWFE,-0.34483627498233144,0.3604979878225967,-1.0997094688192246,0.315465072677869
L1: Linear DML,-0.20879440656358936,0.1537133792225145,-0.5180365852555535,0.0773336582910735
L2: Interactive DML,-0.2746831795730863,0.13974262420711966,-0.5298888184700347,0.009911301212947107
L3: Causal Forest,-0.9303910864157545,0.2725402350578539,-1.464560131467229,-0.3962220413642803
