lead,n_obs,ate,ci_lower,ci_upper,significant,cumulative_ate
0,840,-1.8712998392918951,-2.90309199512044,-0.8395076834633506,True,-1.8712998392918951
1,800,-1.566127640069242,-2.8625462168816833,-0.2697090632568018,True,-3.437427479361137
2,760,-1.3522364056531977,-2.6166174638659525,-0.08785534744044221,True,-4.789663885014335
3,720,-1.598357384456406,-2.7720772230729764,-0.42463754583983615,True,-6.388021269470741
