coef,std_err,p_value,conf_lower,conf_upper,n_obs,spec
-0.006983698317409368,0.006046672288778239,0.24839222360251523,-0.018849934413151578,0.004882537778332842,960,Lasso Selected
-0.026842389515704057,0.008930353221260628,0.002718258398773738,-0.044367678580652256,-0.009317100450755855,960,Lasso (No Energy)
-0.013342468082435822,0.00913802424463862,0.14458892823026223,-0.03127529922606108,0.004590363061189439,960,Full High-Dimensional
-0.028428411237130007,0.009989213568433769,0.004522826119122728,-0.04803165099494018,-0.00882517147931983,960,Full High-Dimensional (No Energy)
