iteration,placebo_ate
1,0.11272590379787481
2,-0.0408957454228605
3,-0.009632090444125035
4,-0.010085191988046803
5,-0.07155048625460536
6,0.13949951474209316
7,0.12343939686760562
8,-0.010408846593567599
9,0.20761291961008516
10,0.026568172747534844
11,-0.012584378580762192
12,0.10850912804195907
13,0.043098076771249015
14,0.06764080057073456
15,0.007670659027210064
16,-0.07440922829393672
17,-0.04488177865576119
18,-0.004079738124926034
19,0.046090500636258434
20,0.01845310549535171
21,0.14409650449832362
22,0.03956647909387304
23,-0.08826319110798271
24,-0.02964193034464329
25,-0.09695236359572917
26,-0.11023583812196167
27,-0.021710644617728054
28,0.049702489715400776
29,-0.12045882713342988
30,-0.01626047227941104
31,0.2779636135911341
32,-0.1903092931677053
33,-0.019056599555249173
34,-0.06501496690016867
35,0.08287426141311675
36,-0.016366383546388415
37,-0.15381541938689453
38,0.09622430541089219
39,-0.1080985993033011
40,-0.07684479662261082
41,-0.061615296381257206
42,-0.13163027386217205
43,0.14098132716743877
44,-0.008444896427945853
45,-0.17342847172853448
46,-0.025717130140052533
47,0.05701724173157585
48,0.1696245758280923
49,0.05667241652499582
50,-0.10986739812078329
51,-0.1546257708074093
52,0.07945841919004323
53,-0.05897420755579686
54,0.06562171561928963
55,-0.13982772721966366
56,0.06604547861700764
57,-0.015122296821291889
58,0.044779121105270214
59,-0.07860614599142342
60,-0.07801972502873424
61,-0.04398646810931431
62,-0.1056889177946948
63,-0.032609240250497745
64,-0.005458225024673267
65,-0.1093388625647575
66,-0.03334766321741104
67,-0.0432370208346475
68,0.07358373706827961
69,-0.0747910362445678
70,0.2456557923817317
71,0.08968928389927339
72,0.003512647448194547
73,-0.022819114825068383
74,0.0951094751836871
75,-0.2581902238407861
76,0.03936602275931236
77,-0.03513978603680259
78,-0.07047948436216624
79,-0.08784282165798746
80,-0.02841263461202853
81,0.08003448619899783
82,-0.05389875079784452
83,0.07843905393221756
84,0.19558729685988827
85,0.08960582444709389
86,0.0834087208833655
87,-0.06558980653500524
88,0.02684614938432528
89,0.11082819065008873
90,-0.14843653540775326
91,-0.14519007974847165
92,-0.10011359065253621
93,0.09458922499557147
94,0.20137455894081438
95,0.10491104228512749
96,-0.22295468434644575
97,0.02992446625276049
98,0.0878197437999418
99,-0.011071539220409652
100,0.01658745585563576
