country,year,CO2_per_capita,ICT_exports,Internet_users,Mobile_subs,GDP_per_capita,GDP_growth,Trade_openness,Gross_investment,Inflation,Energy_use,Renewable_energy,Electricity_access,Industry_VA,Manufacturing,Services,Agriculture,Population,Urban_pop,Tertiary_enroll,Forest_area,OECD
ARG,2000,407.80157990498,5.83719372568351,7.03868,17.4342,7637.01489203628,-0.78899893905691,22.6224447777343,17.5334874363903,,1643.32131961789,9.8,95.7,25.9908360111364,16.4942719439838,63.469313441501,4.67991094417297,37213984.0,89.1760271133454,54.0843505859375,12.1964855354461,0
ARG,2001,372.269266480823,6.94987010326301,9.78081,17.9185,7141.47507662826,-4.40883968258557,21.8522554515453,15.6259653308051,,1518.56737304195,11.5,95.5,25.2434339827333,16.0932258763829,65.0812573281962,4.56858960891786,37624825.0,89.3682951289372,58.4697608947754,12.0808714176615,0
ARG,2002,344.585172499349,7.09870767791357,10.8821,17.2676,2569.69963519124,-10.8944848285903,41.7527243585642,10.8539052402585,,1484.25701881625,11.6,96.1,30.5577370913046,20.347773913878,54.7764456459146,10.2066467144411,38029349.0,89.5616701920513,61.7228813171387,11.9652572998769,0
ARG,2003,361.857956915545,6.55530245507466,11.9137,20.4096,3320.47775133903,8.83704079576924,40.6447480311085,14.1469621012504,,1590.61721067918,10.8,96.3,32.6450990996503,22.4867505875749,51.0316942508769,10.328166939117,38424282.0,89.752468256564,64.0304870605469,11.8496431820922,0
ARG,2004,401.937260111909,6.14362139519585,16.0367,34.8114,4242.02099089422,9.02957330068152,40.692646108947,17.5512703642799,,1740.90890259945,9.3,96.5,28.816922006834,18.9370136214371,47.8369882937827,8.36248661002826,38815916.0,89.9397208794212,64.5891418457031,11.7340290643076,0
ARG,2005,397.605760679171,6.31551890196127,17.7206,56.4973,5067.65342293276,8.85165992013437,40.5512709706238,18.8882641376513,,1712.4320350003,9.6,96.7,28.6263140439084,18.340415936715,48.4861459282405,7.93875427420938,39216789.0,90.1233737736072,63.4893112182617,11.618414946523,0
ARG,2006,416.986433820173,7.12215274835292,20.9272,79.5273,5869.38028970204,8.04715150043027,40.4334798719151,18.6804872364334,,1784.01669776279,9.2,97.0,29.2032796652469,17.8777938558849,48.7491333682456,6.93557229126392,39622115.0,90.3033726521064,66.9444732666016,11.5028008287384,0
ARG,2007,413.313238921116,8.03199150322364,25.9466,100.962,7185.25155147027,9.00765087504757,40.945170618571,20.099113202908,,1845.91422802344,7.7,97.2,27.4152361334783,17.0474154518997,49.5083307772744,7.45235394606923,40016763.0,90.4796632279031,66.6672210693359,11.3871867109537,0
ARG,2008,414.776722285911,9.6599092586123,28.1126,115.052,8944.1102657357,4.05723310346406,40.4026733790382,19.5727758777106,,1889.40923801554,7.7,97.5,26.2724599395946,16.5383660984547,50.2551922042782,7.3189545972436,40424148.0,90.6521912139817,68.5610733032227,11.2715725931691,0
ARG,2009,361.64232627409,11.2648461341748,34.0,128.462,8150.23527028221,-5.91852507634947,34.0571269054879,16.0531123592112,,1722.74402909882,8.6,97.8,25.2842047993735,15.5837772738051,53.3060010032753,5.2736234689014,40854831.0,90.8209023233265,70.6931915283203,11.1559584753845,0
ARG,2010,358.664841331064,11.0019535928226,45.0,138.252,10260.1313108254,10.1253981561002,34.9710132635696,17.7055338062046,,1826.05112368849,8.8,98.8,25.2587762576722,15.8448608064195,51.4951802052167,7.13216745078964,41288694.0,90.9930051940977,73.803669361107,11.0403443575999,0
ARG,2011,316.551522537386,12.4224663943244,51.0,145.511,12704.2831819684,6.00395169280579,35.2061549999644,18.39845891735,,1865.25736115683,8.8,99.0,25.2126976058843,15.8506983942663,51.8119007511102,6.99873377022519,41730660.0,91.1072286738406,77.0101185060955,10.9587128976976,0
ARG,2012,273.838435491049,12.3128038476995,55.8,152.574,12949.717486654,-1.0264204544321,30.5265423717108,16.5019865298875,,1897.60983922809,8.6,99.1,24.4290570649122,15.2168009115954,53.6581179163924,5.7817442068501,42161721.0,91.2041217246797,78.1465174294761,10.8770814377953,0
